[SCAN]              	playful_bryan (SCAN:07d28ffd932f53936786f398d35fb6620d626e14)	TARGET	(distance-0)
[DNS_NAME]          	kiwi.com	TARGET	(a-record, cdn-cloudflare, distance-0, domain, in-scope, mx-record, ns-record, resolved, soa-record, target, txt-record)
[OPEN_TCP_PORT]     	kiwi.com:443	speculate	(distance-0, in-scope)
[DNS_NAME]          	kiwi.com	sslcert	(a-record, cdn-cloudflare, distance-0, domain, in-scope, mx-record, ns-record, resolved, soa-record, txt-record)
[OPEN_TCP_PORT]     	kiwi.com:80	speculate	(distance-0, in-scope)
[URL]               	http://kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-193-226, status-301)
[DNS_NAME]          	kiwi.com	host	(a-record, cdn-cloudflare, distance-0, domain, in-scope, mx-record, ns-record, resolved, soa-record, txt-record)
[DNS_NAME]          	tmp-spf.kiwi.com	TXT	(distance-0, in-scope, resolved, subdomain, txt-record)
[DNS_NAME]          	design.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	holidays.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	geoip-api-cr.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	cs-messaging-storage.kiwi.com	rapiddns	(a-record, cloud-google, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	holidayvaccine.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	aerolinkuganda.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[URL]               	https://kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-192-226, status-301)
[DNS_NAME]          	covidexm.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	automation-dev.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	ebscovideo.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	cdn1.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	track-md.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	lublinairport.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	brmo.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	error-virus.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	rhabdovirus.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	mark-feed-gen.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	visitberlin.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	banana.kiwi.com	sslcert	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	zanair.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	plataforma10.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	research-antivirus1.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	test-kiwibase.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	staging.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	antivirus-www.jira-test.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	governorsaviation.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	hc1covid19.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	banana-api.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	playtravel.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	pandemicsurvival.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	hetzner-nginxantivirus.tracking.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	cloudweekend.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	nizkocenovci-origin-cf.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	kiwi.com	speculate	(a-record, cdn-cloudflare, distance-0, domain, in-scope, mx-record, ns-record, resolved, soa-record, txt-record)
[DNS_NAME]          	pipedoge.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	carriers.banana.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	mailgun.surveys-mg.kiwi.com	rapiddns	(a-record, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	care-antivirus.tracking.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	jamesvillasflights.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	16viruswall.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	traveltobrno.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	mirrorschooplacestilityponeocovidev.sa.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	www.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain, txt-record)
[DNS_NAME]          	preprod.antivirus.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	r-kapla-prodthekittencovers.ns1.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	splogs.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	www.assets.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	rooms.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	api-sygictravel.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	laoskyway.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	do.consul.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	status-www.research-antivirus1.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	research-antivirus.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	jamesvillasflights.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	fluggesellschaft.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	geoip-api-cr.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	www.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain, txt-record)
[DNS_NAME]          	tmailbox2.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[URL]               	https://www.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-193-226, status-302)
[DNS_NAME]          	travellingsalesman.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	syncovh.banana-api.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	surveys-api.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	jiracdn.status-www.research-antivirus1.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	frei-storybook-master.fe.staging.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	logg.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	viamilano.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	nginx-prod.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	mailgun.surveys-mg.kiwi.com	hackertarget	(a-record, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	ppccgeta-neocovidev2.sa.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	mailgun.surveys-mg.kiwi.com	PTR	(a-record, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	spf-sg.kiwi.com	TXT	(distance-0, in-scope, resolved, subdomain, txt-record)
[DNS_NAME]          	stanstedairport.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	uncovens.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	tours.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	fluggesellschaft.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	clickoutwww.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[URL]               	https://geoip-api-cr.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-193-226, status-200)
[DNS_NAME]          	antivirusadminolidaypirates.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	dna.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[URL]               	http://geoip-api-cr.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-193-226, status-301)
[IP_ADDRESS]        	161.38.206.207	A	(distance-1, internal, ipv4, ptr-record, resolved)
[DNS_NAME]          	search.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	static.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	000.holidayvaccine.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	hotelexpress.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	geoip-api-cr.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[OPEN_TCP_PORT]     	geoip-api-cr.kiwi.com:443	speculate	(distance-0, in-scope)
[DNS_NAME]          	geoip-api-cr.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	code.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	coronaviruswa.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[OPEN_TCP_PORT]     	geoip-api-cr.kiwi.com:80	speculate	(distance-0, in-scope)
[DNS_NAME]          	affiliate-www.automation.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	www.kiwi.com	urlscan	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain, txt-record)
[DNS_NAME]          	portalo.automation.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	jira-test.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[URL]               	https://www.kiwi.com/en/	httpx	(dir, distance-0, http-title-kiwi-com-find-cheap-flights-discover-new-destinations, in-scope, ip-104-16-193-226, status-200)
[DNS_NAME]          	www.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain, txt-record)
[DNS_NAME]          	design.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	jetwaysairlines.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	cs-messaging-storage.kiwi.com	hackertarget	(a-record, cloud-google, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	covid-prestations.alpha.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[URL]               	http://www.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-193-226, status-301)
[DNS_NAME]          	log.banana.kiwi.com	massdns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	jobs-staging.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	c-domain__target-parkincoverart.clickoutwww.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	meet.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	fr.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	yahoosports.covideo.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	www.code.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	email.surveys-mg.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	gmairlineantivirus1.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	sdcw.virus2.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[OPEN_TCP_PORT]     	www.kiwi.com:80	speculate	(distance-0, in-scope)
[DNS_NAME]          	media.kiwi.com	rapiddns	(a-record, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	testwl.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[IP_ADDRESS]        	104.16.192.226	A	(cdn-cloudflare, distance-1, internal, ipv4, ptr-record, resolved)
[URL]               	http://design.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-192-226, status-301)
[DNS_NAME]          	email.surveys-mg.kiwi.com	massdns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	thekittencovers.ns1-mailgun.surveys-mg.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[URL]               	https://design.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-193-226, status-301)
[DNS_NAME]          	virus4.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	02.fra1.do.consul.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	learn.kiwi.com	rapiddns	(a-record, cloud-amazon, cname-record, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	balkan.kiwi.com	hackertarget	(a-record, cloud-google, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	chair.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	pythonvikend.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	tequila-api.kiwi.com	hackertarget	(a-record, cloud-google, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	lastminutede.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	auto-emails-kibana.automation.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[OPEN_TCP_PORT]     	design.kiwi.com:80	speculate	(distance-0, in-scope)
[DNS_NAME]          	check-phone.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	mombasaairsafaris.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	design.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	app.kiwi.com	leakix	(a-record, distance-0, in-scope, resolved, subdomain)
[URL]               	http://aerolinkuganda.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-192-226, status-301)
[URL]               	https://aerolinkuganda.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-192-226, status-302)
[DNS_NAME]          	aihgfe.service.now.com.ppccgeta-neocovidev2.sa.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[OPEN_TCP_PORT]     	design.kiwi.com:443	speculate	(distance-0, in-scope)
[DNS_NAME]          	partners.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	o3.ptr2362.kiwi.com	hackertarget	(a-record, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	widget.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[OPEN_TCP_PORT]     	aerolinkuganda.kiwi.com:443	speculate	(distance-0, in-scope)
[DNS_NAME]          	static-data.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	aerolinkuganda.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	images.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	o3.ptr2362.kiwi.com	PTR	(a-record, distance-0, in-scope, resolved, subdomain)
[OPEN_TCP_PORT]     	aerolinkuganda.kiwi.com:80	speculate	(distance-0, in-scope)
[DNS_NAME]          	orbit.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	rooms.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[IP_ADDRESS]        	149.72.171.58	A	(distance-1, internal, ipv4, ptr-record, resolved)
[IP_ADDRESS]        	104.16.192.226	A	(cdn-cloudflare, distance-1, internal, ipv4, ptr-record, resolved)
[DNS_NAME]          	partners.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	app.kiwi.com	excavate	(a-record, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	media.kiwi.com	excavate	(a-record, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	code.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	images.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	static-data.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	kw-autobooking-es-kibana.automation.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	graphql.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[URL]               	https://images.kiwi.com/	httpx	(dir, distance-0, http-title-kiwi-com-image-bucket-tests, in-scope, ip-104-16-193-226, status-200)
[URL]               	https://static-data.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-192-226, status-403)
[URL]               	http://images.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-193-226, status-301)
[DNS_NAME]          	banana.kiwi.com	speculate	(distance-0, in-scope, subdomain, unresolved)
[OPEN_TCP_PORT]     	static-data.kiwi.com:443	speculate	(distance-0, in-scope)
[OPEN_TCP_PORT]     	images.kiwi.com:443	speculate	(distance-0, in-scope)
[OPEN_TCP_PORT]     	images.kiwi.com:80	speculate	(distance-0, in-scope)
[DNS_NAME]          	000.000.000.holidayvaccine.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[URL]               	http://static-data.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-193-226, status-301)
[DNS_NAME]          	partners.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	app.kiwi.com	host	(a-record, distance-0, in-scope, resolved, subdomain)
[URL]               	https://carriers.banana.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-192-226, status-404)
[DNS_NAME]          	cars.kiwi.com	excavate	(a-record, cdn-cloudflare, cname-record, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	code.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[OPEN_TCP_PORT]     	static-data.kiwi.com:80	speculate	(distance-0, in-scope)
[DNS_NAME]          	rooms.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[OPEN_TCP_PORT]     	carriers.banana.kiwi.com:443	speculate	(distance-0, in-scope)
[DNS_NAME]          	media.kiwi.com	host	(a-record, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	cars.kiwi.com	host	(a-record, cdn-cloudflare, cname-record, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	carriers.banana.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[URL]               	http://carriers.banana.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-192-226, status-301)
[DNS_NAME]          	loglady.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[URL]               	https://log.banana.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-192-226, status-200)
[OPEN_TCP_PORT]     	carriers.banana.kiwi.com:80	speculate	(distance-0, in-scope)
[DNS_NAME]          	log.banana.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[URL]               	https://zanair.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-192-226, status-302)
[URL]               	http://log.banana.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-192-226, status-301)
[URL]               	https://visitberlin.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-193-226, status-302)
[DNS_NAME]          	aerolinkuganda.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[OPEN_TCP_PORT]     	log.banana.kiwi.com:443	speculate	(distance-0, in-scope)
[URL]               	https://cars.kiwi.com/	httpx	(dir, distance-0, http-title-pardon-our-interruption, in-scope, ip-104-19-165-108, status-405)
[DNS_NAME]          	carriers.banana.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[URL]               	http://plataforma10.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-192-226, status-301)
[URL]               	http://visitberlin.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-193-226, status-301)
[DNS_NAME]          	jobs.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	surveys-mg.kiwi.com	speculate	(distance-0, in-scope, mx-record, resolved, subdomain, txt-record)
[URL]               	http://zanair.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-16-192-226, status-301)
[OPEN_TCP_PORT]     	zanair.kiwi.com:443	speculate	(distance-0, in-scope)
[DNS_NAME]          	zanair.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[OPEN_TCP_PORT]     	visitberlin.kiwi.com:443	speculate	(distance-0, in-scope)
[URL]               	http://cars.kiwi.com/	httpx	(dir, distance-0, in-scope, ip-104-19-165-108, status-301)
[DNS_NAME]          	visitberlin.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[OPEN_TCP_PORT]     	log.banana.kiwi.com:80	speculate	(distance-0, in-scope)
[DNS_NAME]          	loglady.kiwi.com	urlscan	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[OPEN_TCP_PORT]     	cars.kiwi.com:443	speculate	(distance-0, in-scope)
[DNS_NAME]          	log.banana.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	visitberlin.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	plataforma10.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[OPEN_TCP_PORT]     	plataforma10.kiwi.com:80	speculate	(distance-0, in-scope)
[OPEN_TCP_PORT]     	visitberlin.kiwi.com:80	speculate	(distance-0, in-scope)
[DNS_NAME]          	jobs.kiwi.com	host	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[OPEN_TCP_PORT]     	zanair.kiwi.com:80	speculate	(distance-0, in-scope)
[OPEN_TCP_PORT]     	cars.kiwi.com:80	speculate	(distance-0, in-scope)
[DNS_NAME]          	viruswall2.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	resvurbo544neocovidev2.sa.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	nizkocenovci-origin.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	graphql-cr.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	zanair.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	email.txn-ov.kiwi.com	otx	(a-record, cname-record, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	code.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	images.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	nizkocenovci-origin.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	code.kiwi.com	otx	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	images.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	plataforma10.kiwi.com	excavate	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	aerolinkuganda.kiwi.com	otx	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	app.kiwi.com	hackertarget	(a-record, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	images.kiwi.com	otx	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	airylang.kiwi.com	rapiddns	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	research.antivirus.kiwi.com	rapiddns	(distance-0, in-scope, subdomain, unresolved)
[DNS_NAME]          	parking.kiwi.com	hackertarget	(a-record, aaaa-record, cloud-amazon, distance-0, in-scope, ns-record, resolved, soa-record, subdomain)
[DNS_NAME]          	gmairlines.kiwi.com	otx	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	docs.kiwi.com	hackertarget	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
[DNS_NAME]          	skypasada.kiwi.com	otx	(a-record, cdn-cloudflare, distance-0, in-scope, resolved, subdomain)
